epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.249,2.30472,3.62256,2.12756,0.00514,0.31126,0.14766,0.07848,1.38165,3.67043,1.24307,0.00023331,0.00023331,0.00023331
2,203.74,1.56892,1.74171,1.6808,0.8415,0.21918,0.13922,0.08333,1.40196,2.97837,1.25122,0.000383139,0.000383139,0.000383139
3,284.293,1.39036,1.40502,1.50458,0.84203,0.23288,0.16427,0.10528,1.33791,2.65513,1.34798,0.000436179,0.000436179,0.000436179
4,364.483,1.29484,1.23276,1.41162,0.84077,0.30594,0.17957,0.12008,1.29174,2.16092,1.26527,0.000392427,0.000392427,0.000392427
5,465.95,1.32336,1.19942,1.42463,0.83409,0.33333,0.18688,0.12922,1.2732,2.33163,1.17124,0.000231088,0.000231088,0.000231088
