epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1079.71,1.20313,0.74347,1.28323,0.43269,0.74333,0.73193,0.43148,1.15129,0.47037,1.33106,0.0296411,0.00988038,0.0296411,0.00988038,0.0296411,0.00988038,0.0296411,0.00988038
31,1115.44,1.20394,0.7355,1.27902,0.65452,0.77895,0.77861,0.49402,1.16644,0.46019,1.33524,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
32,1151.16,1.21281,0.74898,1.29476,0.823,0.68817,0.79154,0.44618,1.17107,0.474,1.35064,0.0296164,0.00987212,0.0296164,0.00987212,0.0296164,0.00987212,0.0296164,0.00987212
33,1187.03,1.19808,0.74299,1.27341,0.70863,0.58352,0.60128,0.37868,1.23025,0.56831,1.40156,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868,0.029604,0.009868
34,1222.85,1.18873,0.73153,1.26565,0.61481,0.71833,0.78848,0.46366,1.14048,0.47268,1.31908,0.0295916,0.00986387,0.0295916,0.00986387,0.0295916,0.00986387,0.0295916,0.00986387
35,1258.63,1.20001,0.73009,1.27159,0.59435,0.77083,0.74247,0.45104,1.15151,0.49014,1.33555,0.0295793,0.00985975,0.0295793,0.00985975,0.0295793,0.00985975,0.0295793,0.00985975
36,1294.46,1.18279,0.72237,1.27127,0.47751,0.71782,0.56646,0.34231,1.22121,0.61615,1.3823,0.0295669,0.00985562,0.0295669,0.00985562,0.0295669,0.00985562,0.0295669,0.00985562
37,1330.39,1.19409,0.71718,1.26109,0.77635,0.74583,0.76233,0.51437,1.17938,0.49672,1.34809,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
38,1366.12,1.18481,0.72337,1.26924,0.68228,0.7416,0.79637,0.48801,1.15,0.50439,1.31808,0.0295421,0.00984738,0.0295421,0.00984738,0.0295421,0.00984738,0.0295421,0.00984738
39,1401.95,1.18274,0.72941,1.26993,0.74461,0.87919,0.83735,0.4479,1.15289,0.4618,1.32606,0.0295298,0.00984325,0.0295298,0.00984325,0.0295298,0.00984325,0.0295298,0.00984325
40,1437.79,1.17828,0.71142,1.26542,0.90112,0.69307,0.83768,0.47716,1.15428,0.48231,1.31355,0.0295174,0.00983913,0.0295174,0.00983913,0.0295174,0.00983913,0.0295174,0.00983913
41,1473.81,1.16842,0.7176,1.26455,0.67114,0.65083,0.737,0.45661,1.13284,0.47696,1.31208,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835,0.029505,0.009835
42,1509.65,1.17016,0.70846,1.25658,0.6009,0.75367,0.66604,0.3696,1.17442,0.47242,1.33287,0.0294926,0.00983088,0.0294926,0.00983088,0.0294926,0.00983088,0.0294926,0.00983088
43,1545.46,1.17948,0.70298,1.26445,0.82322,0.77646,0.83573,0.47708,1.15985,0.4651,1.33526,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
44,1581.23,1.17455,0.71058,1.26286,0.90895,0.80836,0.88717,0.48498,1.15224,0.44715,1.31517,0.0294679,0.00982262,0.0294679,0.00982262,0.0294679,0.00982262,0.0294679,0.00982262
45,1617.08,1.17684,0.70258,1.26168,0.84474,0.7805,0.80854,0.49843,1.183,0.46116,1.33733,0.0294555,0.0098185,0.0294555,0.0098185,0.0294555,0.0098185,0.0294555,0.0098185
46,1652.93,1.16678,0.6909,1.25178,0.77834,0.77165,0.81508,0.48272,1.15386,0.45058,1.34012,0.0294431,0.00981438,0.0294431,0.00981438,0.0294431,0.00981438,0.0294431,0.00981438
47,1688.78,1.15894,0.70343,1.25502,0.75568,0.83311,0.83155,0.52569,1.14408,0.4437,1.33128,0.0294307,0.00981025,0.0294307,0.00981025,0.0294307,0.00981025,0.0294307,0.00981025
48,1724.73,1.15934,0.69394,1.24946,0.67479,0.74843,0.75176,0.47985,1.15149,0.47422,1.32023,0.0294184,0.00980613,0.0294184,0.00980613,0.0294184,0.00980613,0.0294184,0.00980613
49,1760.73,1.16049,0.6925,1.25128,0.69403,0.71583,0.78611,0.47303,1.16012,0.45397,1.33359,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
50,1796.66,1.16621,0.69154,1.26121,0.60198,0.80082,0.71745,0.45637,1.14868,0.46491,1.32422,0.0293936,0.00979788,0.0293936,0.00979788,0.0293936,0.00979788,0.0293936,0.00979788
51,1832.52,1.17109,0.689,1.26041,0.78157,0.77869,0.83927,0.4835,1.15779,0.44121,1.31859,0.0293812,0.00979375,0.0293812,0.00979375,0.0293812,0.00979375,0.0293812,0.00979375
52,1868.39,1.15701,0.68381,1.25064,0.61196,0.80833,0.77894,0.46938,1.14812,0.45036,1.32647,0.0293689,0.00978962,0.0293689,0.00978962,0.0293689,0.00978962,0.0293689,0.00978962
53,1904.41,1.163,0.69577,1.25551,0.81583,0.76291,0.83775,0.48161,1.1647,0.4414,1.31983,0.0293565,0.0097855,0.0293565,0.0097855,0.0293565,0.0097855,0.0293565,0.0097855
54,1940.28,1.14418,0.66758,1.23893,0.696,0.76833,0.80234,0.51506,1.15741,0.45335,1.32201,0.0293441,0.00978138,0.0293441,0.00978138,0.0293441,0.00978138,0.0293441,0.00978138
55,1976.21,1.13549,0.67733,1.24008,0.60992,0.80833,0.75501,0.48902,1.12128,0.44728,1.3088,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
56,2012.12,1.16116,0.66762,1.25228,0.85482,0.71603,0.86078,0.47998,1.13838,0.46345,1.31244,0.0293194,0.00977312,0.0293194,0.00977312,0.0293194,0.00977312,0.0293194,0.00977312
57,2048.05,1.15222,0.67232,1.24359,0.8528,0.78545,0.85532,0.45017,1.15921,0.4699,1.3282,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769,0.029307,0.009769
58,2083.98,1.14449,0.66177,1.24407,0.55776,0.82896,0.71815,0.43783,1.12197,0.44622,1.3098,0.0292946,0.00976487,0.0292946,0.00976487,0.0292946,0.00976487,0.0292946,0.00976487
59,2119.98,1.13717,0.66699,1.24349,0.86715,0.77517,0.87771,0.53263,1.1599,0.43665,1.3341,0.0292822,0.00976075,0.0292822,0.00976075,0.0292822,0.00976075,0.0292822,0.00976075
60,2155.88,1.13532,0.67525,1.2407,0.72754,0.72586,0.72839,0.42505,1.13176,0.49931,1.31633,0.0292699,0.00975662,0.0292699,0.00975662,0.0292699,0.00975662,0.0292699,0.00975662
61,2191.97,1.13657,0.66523,1.24288,0.67228,0.79908,0.76483,0.43706,1.13908,0.47037,1.32769,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
62,2227.94,1.13444,0.65049,1.22945,0.74697,0.875,0.87211,0.46474,1.15873,0.45626,1.33798,0.0292451,0.00974838,0.0292451,0.00974838,0.0292451,0.00974838,0.0292451,0.00974838
63,2263.93,1.13577,0.65021,1.22982,0.65838,0.82363,0.7897,0.46402,1.13861,0.46406,1.32682,0.0292327,0.00974425,0.0292327,0.00974425,0.0292327,0.00974425,0.0292327,0.00974425
64,2299.75,1.14116,0.6715,1.23875,0.79094,0.78176,0.82402,0.52173,1.11207,0.43736,1.2923,0.0292204,0.00974013,0.0292204,0.00974013,0.0292204,0.00974013,0.0292204,0.00974013
