epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,396.887,1.5912,2.12963,1.56282,0.85448,0.1574,0.11152,0.07352,1.24704,2.71273,1.09412,0.000366172,0.000366172,0.000366172
2,723.417,1.22462,1.12859,1.22443,0.52891,0.22533,0.08087,0.04864,1.27923,3.12536,1.14461,0.000663592,0.000663592,0.000663592
3,1046.63,1.22407,1.04842,1.22197,0.68722,0.22281,0.09723,0.055,1.20768,3.489,1.08404,0.000887685,0.000887685,0.000887685
4,1369.92,1.16182,1.22125,1.17673,0.49741,0.33625,0.10847,0.0625,1.22464,3.13394,1.09629,0.000781033,0.000781033,0.000781033
5,1696.21,1.1621,0.92126,1.16794,0.2942,0.33697,0.10118,0.05763,1.15427,2.92985,1.06645,0.000671044,0.000671044,0.000671044
6,2025.17,1.12717,0.84119,1.14397,0.50673,0.30204,0.10289,0.06302,1.14398,2.54072,1.05947,0.000561055,0.000561055,0.000561055
7,2349.53,1.12352,0.78929,1.13759,0.51315,0.30659,0.12878,0.08303,1.13465,2.55685,1.04955,0.000451066,0.000451066,0.000451066
8,2673.6,1.09828,0.76331,1.12867,0.34697,0.36959,0.16418,0.10457,1.12853,3.05382,1.0414,0.000341077,0.000341077,0.000341077
9,3001.5,1.08149,0.72835,1.11497,0.16742,0.66861,0.15763,0.10419,1.05609,2.68782,1.01664,0.000231088,0.000231088,0.000231088
10,3325.32,1.05659,0.69409,1.10041,0.1993,0.60474,0.17512,0.11113,1.06987,2.92221,1.02073,0.000121099,0.000121099,0.000121099
