epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,333.466,1.79516,2.34334,1.74935,0.85471,0.19422,0.06363,0.03712,1.4038,3.62278,1.17513,0.000366172,0.000366172,0.000366172
2,666.796,1.41002,1.36574,1.44551,0.85473,0.19422,0.06498,0.04272,1.19877,5.34616,1.08546,0.000700049,0.000700049,0.000700049
3,1008.29,1.37312,1.23149,1.42032,0.46966,0.23984,0.07373,0.04334,1.19535,3.15201,1.26578,0.000997262,0.000997262,0.000997262
4,1343.49,1.34018,1.1658,1.4213,0.47838,0.2521,0.08472,0.05096,1.19736,2.65765,1.0944,0.000946016,0.000946016,0.000946016
5,1673.19,1.31543,1.06953,1.40091,0.28777,0.32701,0.09388,0.058,1.21404,3.55197,1.18249,0.000891022,0.000891022,0.000891022
6,1999.77,1.29516,1.047,1.38315,0.29675,0.42969,0.09604,0.05628,1.13641,2.90481,1.16433,0.000836027,0.000836027,0.000836027
7,2327.65,1.29017,0.99192,1.37326,0.13124,0.41036,0.12923,0.06913,1.15925,3.21814,1.16319,0.000781033,0.000781033,0.000781033
8,2654.85,1.25974,0.99036,1.37057,0.38856,0.43669,0.17767,0.10456,1.1144,2.96329,1.16324,0.000726038,0.000726038,0.000726038
9,2986.65,1.27655,0.98205,1.38125,0.42106,0.3441,0.16369,0.09527,1.14855,2.58541,1.14448,0.000671044,0.000671044,0.000671044
10,3362.07,1.24794,0.92911,1.3606,0.42463,0.3582,0.17738,0.1045,1.14939,2.57109,1.19595,0.000616049,0.000616049,0.000616049
11,3692.26,1.12718,0.79804,1.25646,0.11479,0.48179,0.11026,0.06353,1.13252,2.8403,1.20118,0.000561055,0.000561055,0.000561055
12,4023.39,1.12522,0.76792,1.28048,0.38472,0.42125,0.18965,0.11639,1.13254,2.78447,1.22407,0.00050606,0.00050606,0.00050606
13,4349.75,1.10887,0.73995,1.28394,0.14336,0.59842,0.16198,0.09299,1.13451,2.74502,1.18297,0.000451066,0.000451066,0.000451066
14,4685.8,1.08786,0.7083,1.25301,0.37017,0.46866,0.19442,0.10999,1.11164,2.64028,1.18421,0.000396071,0.000396071,0.000396071
15,5017.22,1.08901,0.68868,1.24918,0.20695,0.64788,0.20327,0.11228,1.10084,2.94984,1.16201,0.000341077,0.000341077,0.000341077
