epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,267.342,1.83191,2.38829,1.84332,0.99628,0.17396,0.23766,0.13337,1.37009,1.87145,1.26653,0.000364455,0.000364455,0.000364455
2,538.092,1.33366,1.12679,1.47645,0.938,0.32143,0.32008,0.1939,1.27706,1.00592,1.26721,0.0005893,0.0005893,0.0005893
3,828.029,1.29309,1.00888,1.41342,0.9647,0.31812,0.37517,0.23439,1.24857,0.86723,1.22176,0.000667494,0.000667494,0.000667494
4,1080.88,1.23722,0.92509,1.35502,0.74314,0.38393,0.38094,0.21431,1.203,0.80232,1.11203,0.000451066,0.000451066,0.000451066
5,1319.96,1.19745,0.83987,1.33428,0.6615,0.45089,0.41798,0.22505,1.16993,0.71144,1.15591,0.000231088,0.000231088,0.000231088
