epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.811,1.79516,2.34334,1.74935,0.85471,0.19422,0.06363,0.03712,1.4038,3.62278,1.17513,0.000366172,0.000366172,0.000366172
2,758.3,1.40095,1.36729,1.44282,0.05774,0.21176,0.06923,0.04445,1.19476,3.61523,1.07342,0.000590678,0.000590678,0.000590678
3,1097.09,1.34635,1.21642,1.37072,0.31786,0.3638,0.09511,0.0538,1.16164,3.53564,1.16277,0.000668531,0.000668531,0.000668531
4,1440.35,1.30621,1.15854,1.36207,0.28683,0.3553,0.08925,0.05259,1.11268,2.96359,1.08818,0.000451066,0.000451066,0.000451066
5,1775.85,1.25292,1.0364,1.3223,0.29801,0.28415,0.10136,0.05625,1.13463,3.26216,1.11987,0.000231088,0.000231088,0.000231088
